Macrotrends Data Download

Canada GDP Per Capita 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,2259.2943
1961-12-31,2240.433,-0.83
1962-12-31,2268.5853,1.26
1963-12-31,2374.4984,4.67
1964-12-31,2555.1111,7.61
1965-12-31,2770.3618,8.42
1966-12-31,3047.1061,9.99
1967-12-31,3217.1593,5.58
1968-12-31,3462.6789,7.63
1969-12-31,3763.9534,8.7
1970-12-31,4121.9328,9.51
1971-12-31,4520.1629,9.66
1972-12-31,5089.5879,12.6
1973-12-31,5838.6609,14.72
1974-12-31,7033.011,20.46
1975-12-31,7511.2113,6.8
1976-12-31,8809.2647,17.28
1977-12-31,8919.0575,1.25
1978-12-31,9123.6913,2.29
1979-12-31,10043.661,10.08
1980-12-31,11170.564,11.22
1981-12-31,12337.4662,10.45
1982-12-31,12481.8748,1.17
1983-12-31,13425.1225,7.56
1984-12-31,13877.9171,3.37
1985-12-31,14114.8078,1.71
1986-12-31,14461.0692,2.45
1987-12-31,16308.967,12.78
1988-12-31,18936.9641,16.11
1989-12-31,20715.6315,9.39
1990-12-31,21448.362,3.54
1991-12-31,21768.3433,1.49
1992-12-31,20879.8483,-4.08
1993-12-31,20121.1613,-3.63
1994-12-31,19935.3815,-0.92
1995-12-31,20613.7879,3.4
1996-12-31,21227.3475,2.98
1997-12-31,21901.5629,3.18
1998-12-31,21024.5851,-4
1999-12-31,22315.2467,6.14
2000-12-31,24271.0021,8.76
2001-12-31,23822.0601,-1.85
2002-12-31,24255.3386,1.82
2003-12-31,28300.4631,16.68
2004-12-31,32143.6814,13.58
2005-12-31,36382.5079,13.19
2006-12-31,40504.0607,11.33
2007-12-31,44659.8951,10.26
2008-12-31,46710.5056,4.59
2009-12-31,40876.3102,-12.49
2010-12-31,47562.0834,16.36
2011-12-31,52223.6961,9.8
2012-12-31,52669.09,0.85
2013-12-31,52635.175,-0.06
2014-12-31,50955.9983,-3.19
2015-12-31,43596.1355,-14.44
2016-12-31,42315.6037,-2.94
2017-12-31,45129.4293,6.65
2018-12-31,46548.6384,3.14
2019-12-31,46328.6718,-0.47
2020-12-31,43258.2639,-6.63
2021-12-31,52051.3515,20.33
